date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,ret_10,close_rank_20,close_rank_60,oi_ret_5,volume_mad_score,speculation_mad_score,volume_to_open_interest,oi_unwind_divergence_score,signal,position,position_scale,daily_return,base_position,factor_position_source,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2023-07-21,235420.71047957373,214134.19913419912,236919.3605683836,213488.42216731375,65439.0,14410336300.0,8085.0,2.091107917975069,46,uptrend_oi_unwind_divergence,0.0,,,,,,,8.093877551020409,0.0,0,1.0,1.0,,1.0,position,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2023-07-24,210553.2268650186,201296.54778235024,210904.59418070444,200627.7813712807,53983.0,11106616100.0,13122.0,1.4143789712621873,46,uptrend_oi_unwind_divergence,0.0,,,,,,,4.113930803231215,0.0,0,1.0,1.0,-0.05995142954163735,1.0,position,1.0,-0.05995142954163735,-0.05995142954163735,0.9400485704583627,0.9400485704583627,1.0,1.0,-0.05995142954163735,-0.05995142954163735
2023-07-25,201523.5243597752,216694.29427430092,217194.2201056821,201036.35618363527,74253.0,16208692800.0,15020.0,1.598095534571003,46,uptrend_oi_unwind_divergence,0.0,,,,,,,4.943608521970706,0.0,0,1.0,1.0,0.07649284928919564,1.0,position,1.0,0.07649284928919564,0.07649284928919564,1.011955564082958,1.011955564082958,1.011955564082958,1.011955564082958,0.0,0.0
2023-07-26,217897.3795039775,219563.98194099808,231886.6405570061,215883.7459283388,109938.0,25102283650.0,14508.0,2.025216349105437,46,uptrend_oi_unwind_divergence,0.0,,,,,,,7.577750206782465,0.0,0,1.0,1.0,0.013243023662933062,1.0,position,1.0,0.013243023662933062,0.013243023662933062,1.0253569155639455,1.0253569155639455,1.0253569155639455,1.0253569155639455,0.0,0.0
2023-07-27,224212.93941660432,217538.3747103608,225160.7397837765,216059.4902350215,48989.0,11093785100.0,15105.0,1.176569968274467,46,uptrend_oi_unwind_divergence,0.0,,,,,,,3.243230718305197,0.0,0,1.0,1.0,-0.00922558979269017,1.0,position,1.0,-0.00922558979269017,-0.00922558979269017,1.0158973932698545,1.0158973932698545,1.0253569155639455,1.0253569155639455,-0.00922558979269017,-0.00922558979269017
2023-07-28,216775.42920556173,220461.82341001357,223050.7575281323,215085.87048762976,46087.0,10413366450.0,14780.0,1.137255999052689,46,uptrend_oi_unwind_divergence,0.0,,,,0.6032644224909856,-1.2287294066127663,-0.737397759853614,3.118200270635995,0.0,0,1.0,1.0,0.013438772370829577,1.0,position,1.0,0.013438772370829577,0.013438772370829577,1.0295498070901272,1.0295498070901272,1.0295498070901272,1.0295498070901272,0.0,0.0
2023-07-31,221490.2407221665,220703.6020638504,225488.57428381089,220546.55594969363,36088.0,8271107700.0,15505.0,0.8447978475536825,46,uptrend_oi_unwind_divergence,0.0,,,,0.166872341629725,-1.618370805351541,-1.277136477875173,2.32750725572396,0.0,0,1.0,1.0,0.0010966917087824601,1.0,position,1.0,0.0010966917087824601,0.0010966917087824601,1.0306789058273416,1.0306789058273416,1.0306789058273416,1.0306789058273416,0.0,0.0
2023-08-01,221431.6312827727,221433.656545037,222372.0691414721,219016.3320117662,22147.0,5036496500.0,15676.0,0.3455711668003232,46,uptrend_oi_unwind_divergence,0.0,,,,0.0427482340013956,-3.1226370886053787,-2.60137577919472,1.412796631793825,0.0,0,1.0,1.0,0.0033078503221499744,1.0,position,1.0,0.0033078503221499744,0.0033078503221499744,1.0340882373780158,1.0340882373780158,1.0340882373780158,1.0340882373780158,0.0,0.0
2023-08-02,221531.3974879472,221913.28229665072,223201.0974371987,221412.91994504805,16943.0,3865140400.0,15675.0,0.0777876826569847,46,uptrend_oi_unwind_divergence,1.0,,1.0,,0.0773668650983285,-2.5165486962316828,-2.1805947369727927,1.0808931419457737,1.0,0,1.0,1.0,0.002166002039153403,1.0,position,1.0,0.002166002039153403,0.002166002039153403,1.0363280746088412,1.0363280746088412,1.0363280746088412,1.0363280746088412,0.0,0.0
2023-08-03,219951.91062587276,223249.91373998765,223650.94779554263,218380.141551352,21446.0,4863001100.0,16230.0,0.278676766271454,46,uptrend_oi_unwind_divergence,1.0,,1.0,,0.0718355666878629,-1.8229834397189315,-1.4367353161228456,1.3213801601971658,1.0,0,1.0,1.0,0.006023215147393124,1.0,position,1.0,0.006023215147393124,0.006023215147393124,1.042570101565494,1.042570101565494,1.042570101565494,1.042570101565494,0.0,0.0
