date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,is_down_day,price_down_ratio,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position,position_scale,base_position,factor_position_source,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2023-07-21,235420.71047957373,214134.19913419912,236919.3605683836,213488.42216731375,65439.0,14410336300.0,8085.0,2.091107917975069,32,price_down_speculation_up,,-0.0904190260152219,0,,,,,0,1.0,1.0,1.0,position,1.0,-0.0904190260152219,-0.0904190260152219,0.9095809739847781,0.9095809739847781,0.9095809739847781,0.9095809739847781,0.0,0.0
2023-07-24,210553.2268650186,201296.54778235024,210904.59418070444,200627.7813712807,53983.0,11106616100.0,13122.0,1.4143789712621873,32,price_down_speculation_up,,-0.04396360588005914,1,,,,,0,1.0,1.0,1.0,position,1.0,-0.04396360588005914,-0.04396360588005914,0.865617368104719,0.865617368104719,0.9095809739847781,0.9095809739847781,-0.04833391103978257,-0.04833391103978257
2023-07-25,201523.5243597752,216694.29427430092,217194.2201056821,201036.35618363527,74253.0,16208692800.0,15020.0,1.598095534571003,32,price_down_speculation_up,,0.07528039201736908,0,,,,,0,1.0,1.0,1.0,position,1.0,0.07528039201736908,0.07528039201736908,0.940897760122088,0.940897760122088,0.940897760122088,0.940897760122088,0.0,0.0
2023-07-26,217897.3795039775,219563.98194099808,231886.6405570061,215883.7459283388,109938.0,25102283650.0,14508.0,2.025216349105437,32,price_down_speculation_up,,0.0076485657643723445,0,,,,,0,1.0,1.0,1.0,position,1.0,0.0076485657643723445,0.0076485657643723445,0.9485463258864604,0.9485463258864604,0.9485463258864604,0.9485463258864604,0.0,0.0
2023-07-27,224212.93941660432,217538.3747103608,225160.7397837765,216059.4902350215,48989.0,11093785100.0,15105.0,1.176569968274467,32,price_down_speculation_up,,-0.02976886491747775,1,,,,,0,1.0,1.0,1.0,position,1.0,-0.02976886491747775,-0.02976886491747775,0.9187774609689826,0.9187774609689826,0.9485463258864604,0.9485463258864604,-0.03138367004864773,-0.03138367004864773
2023-07-28,216775.42920556173,220461.82341001357,223050.7575281323,215085.87048762976,46087.0,10413366450.0,14780.0,1.137255999052689,32,price_down_speculation_up,,0.01700559061495918,0,,,,,0,1.0,1.0,1.0,position,1.0,0.01700559061495918,0.01700559061495918,0.9357830515839418,0.9357830515839418,0.9485463258864604,0.9485463258864604,-0.01345561513887128,-0.01345561513887128
2023-07-31,221490.2407221665,220703.6020638504,225488.57428381089,220546.55594969363,36088.0,8271107700.0,15505.0,0.8447978475536825,32,price_down_speculation_up,,-0.003551572546723737,0,,,,,0,1.0,1.0,1.0,position,1.0,-0.003551572546723737,-0.003551572546723737,0.932231479037218,0.932231479037218,0.9485463258864604,0.9485463258864604,-0.017199841909666724,-0.017199841909666724
2023-08-01,221431.6312827727,221433.656545037,222372.0691414721,219016.3320117662,22147.0,5036496500.0,15676.0,0.3455711668003232,32,price_down_speculation_up,,9.14621932092303e-06,0,0.25,,,,0,1.0,1.0,1.0,position,1.0,9.14621932092303e-06,9.14621932092303e-06,0.932240625256539,0.932240625256539,0.9485463258864604,0.9485463258864604,-0.017190199555812913,-0.017190199555812913
2023-08-02,221531.3974879472,221913.28229665072,223201.0974371987,221412.91994504805,16943.0,3865140400.0,15675.0,0.0777876826569847,32,price_down_speculation_up,-2.1805947369727927,0.0017238405618070754,0,0.2222222222222222,1.2954744697683271,0.3766488435086603,-2.1805947369727927,0,1.0,1.0,1.0,position,1.0,0.0017238405618070754,0.0017238405618070754,0.9339644658183461,0.9339644658183461,0.9485463258864604,0.9485463258864604,-0.0153728496649721,-0.0153728496649721
2023-08-03,219951.91062587276,223249.91373998765,223650.94779554263,218380.141551352,21446.0,4863001100.0,16230.0,0.278676766271454,32,price_down_speculation_up,-1.4367353161228456,0.014994200799303957,0,0.2,1.176569968274467,0.421525566296536,-1.4367353161228456,0,1.0,1.0,1.0,position,1.0,0.014994200799303957,0.014994200799303957,0.94895866661765,0.94895866661765,0.94895866661765,0.94895866661765,0.0,0.0
2023-08-04,224539.9914795204,222707.8457608564,226063.2341306068,222392.58829134653,13859.0,3167882600.0,16442.0,-0.1709041956432761,32,price_down_speculation_up,-1.4300726449096248,-0.008159551920313908,1,0.3,1.156912983663578,0.6262621838853399,-1.4300726449096248,0,1.0,1.0,1.0,position,1.0,-0.008159551920313908,-0.008159551920313908,0.9407991146973361,0.9407991146973361,0.94895866661765,0.94895866661765,-0.008598427104730244,-0.008598427104730244
2023-08-07,221536.71889177908,213933.16142895515,222592.38278895983,213691.6035455278,33521.0,7419631950.0,18615.0,0.5882044007797698,32,price_down_speculation_up,-0.4338439652625562,-0.034321883527300374,1,0.3,0.9910269233031856,0.6262621838853399,-0.4338439652625562,0,1.0,1.0,1.0,position,1.0,-0.034321883527300374,-0.034321883527300374,0.9064772311700358,0.9064772311700358,0.94895866661765,0.94895866661765,-0.04476637069876799,-0.04476637069876799
2023-08-08,213715.68585718848,211639.1597789407,215440.4469625433,211233.17535545025,31800.0,6910652350.0,20447.0,0.4416301173252139,32,price_down_speculation_up,-0.4129621512865118,-0.009716301683327938,1,0.4,0.7165011241667261,0.4489466010015065,-0.4129621512865118,0,1.0,1.0,1.0,position,1.0,-0.009716301683327938,-0.009716301683327938,0.8967609294867078,0.8967609294867078,0.94895866661765,0.94895866661765,-0.05500527996334059,-0.05500527996334059
2023-08-09,212008.11296035716,212657.0317916213,212967.01628825272,210115.7397790577,27109.0,5848135400.0,20194.0,0.2944802454904577,32,price_down_speculation_up,-0.3876942848963997,0.0030608207497487333,0,0.4,0.5149172590524919,0.3835050824483489,-0.3876942848963997,0,1.0,1.0,1.0,position,1.0,0.0030608207497487333,0.0030608207497487333,0.8998217502364565,0.8998217502364565,0.94895866661765,0.94895866661765,-0.051779827836265,-0.051779827836265
2023-08-10,212438.06638306292,206395.3513174404,213774.85902255643,206058.0403470176,33810.0,7225699650.0,23910.0,0.3464598352495612,32,price_down_speculation_up,-0.1245885468118497,-0.0284445964346449,1,0.4,0.3936006420627685,0.2552083590613925,-0.1245885468118497,0,1.0,1.0,1.0,position,1.0,-0.0284445964346449,-0.0284445964346449,0.8713771538018117,0.8713771538018117,0.94895866661765,0.94895866661765,-0.08175436459457208,-0.08175436459457208
2023-08-11,205989.2162957437,204917.29295378117,207536.06028642133,201759.6668937574,54389.0,11286591550.0,25574.0,0.7545857171442018,32,price_down_speculation_up,1.6315806216993085,-0.005203783776833985,1,0.5,0.3460155010249421,0.1689017580275496,1.6315806216993085,0,1.0,1.0,1.0,position,1.0,-0.005203783776833985,-0.005203783776833985,0.8661733700249776,0.8661733700249776,0.94895866661765,0.94895866661765,-0.0872380426091075,-0.0872380426091075
2023-08-14,203604.56147745124,193643.2345381271,203820.76516341625,193614.2972741408,54541.0,10955650500.0,31513.0,0.5485525533084864,32,price_down_speculation_up,0.8088096406554316,-0.04892487116712926,1,0.6,0.3460155010249421,0.1689017580275496,0.8088096406554316,0,1.0,1.0,1.0,position,1.0,-0.04892487116712926,-0.04892487116712926,0.8172484988578484,0.8172484988578484,0.94895866661765,0.94895866661765,-0.13879442002384879,-0.13879442002384879
2023-08-15,193145.9369895716,189680.8139697453,194448.04466641537,189053.5795148248,86930.0,16815971400.0,35763.0,0.8881893576869988,32,price_down_speculation_up,2.4530552391920497,-0.01794043961697935,1,0.7,0.3460155010249421,0.149075834291908,2.4530552391920497,1,0.0,0.0,1.0,position,1.0,-0.01794043961697935,-0.01794043961697935,0.799308059240869,0.799308059240869,0.94895866661765,0.94895866661765,-0.1576998162735338,-0.1576998162735338
2023-08-16,189012.4814493322,191747.30923578836,195997.35098396087,187185.7054853975,81487.0,15980989350.0,34637.0,0.8555210234584508,32,price_down_speculation_up,1.7854361220554364,0.014469032761676468,0,0.7,0.3940449762873875,0.1743335007567405,1.7854361220554364,0,1.0,1.0,1.0,position,0.0,0.014469032761676468,0.0,0.8137770920025456,0.799308059240869,0.94895866661765,0.94895866661765,-0.1424525423187596,-0.1576998162735338
