date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_median_history,speculation_mad_history,speculation_mad_value,signal,position_scale,is_effective_signal,open,daily_return,base_position,reduce_signal,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2023-07-21,214134.19913419912,no_trend,,0,,12,speculation_mad,,2.091107917975069,,,,0,1.0,0,235420.71047957373,-0.0904190260152219,1.0,0.0,1.0,-0.0904190260152219,-0.0904190260152219,0.9095809739847781,0.9095809739847781,0.9095809739847781,0.9095809739847781,0.0,0.0
2023-07-24,201296.54778235024,up_trend,1.0,0,,12,speculation_mad,,1.4143789712621873,,,,0,1.0,0,210553.2268650186,-0.04396360588005914,1.0,0.0,1.0,-0.04396360588005914,-0.04396360588005914,0.865617368104719,0.865617368104719,0.9095809739847781,0.9095809739847781,-0.04833391103978257,-0.04833391103978257
2023-07-25,216694.29427430092,up_trend,1.0,0,,12,speculation_mad,,1.598095534571003,,,,0,1.0,0,201523.5243597752,0.07528039201736908,1.0,0.0,1.0,0.07528039201736908,0.07528039201736908,0.940897760122088,0.940897760122088,0.940897760122088,0.940897760122088,0.0,0.0
2023-07-26,219563.98194099808,up_trend,1.0,0,,12,speculation_mad,,2.025216349105437,,,,0,1.0,0,217897.3795039775,0.0076485657643723445,1.0,0.0,1.0,0.0076485657643723445,0.0076485657643723445,0.9485463258864604,0.9485463258864604,0.9485463258864604,0.9485463258864604,0.0,0.0
2023-07-27,217538.3747103608,up_trend,1.0,0,,12,speculation_mad,,1.176569968274467,,,,0,1.0,0,224212.93941660432,-0.02976886491747775,1.0,0.0,1.0,-0.02976886491747775,-0.02976886491747775,0.9187774609689826,0.9187774609689826,0.9485463258864604,0.9485463258864604,-0.03138367004864773,-0.03138367004864773
2023-07-28,220461.82341001357,up_trend,1.0,0,,12,speculation_mad,,1.137255999052689,,,,0,1.0,0,216775.42920556173,0.01700559061495918,1.0,0.0,1.0,0.01700559061495918,0.01700559061495918,0.9357830515839418,0.9357830515839418,0.9485463258864604,0.9485463258864604,-0.01345561513887128,-0.01345561513887128
2023-07-31,220703.6020638504,up_trend,1.0,1,1.0,12,speculation_mad,,0.8447978475536825,,,,0,1.0,0,221490.2407221665,-0.003551572546723737,1.0,0.0,1.0,-0.003551572546723737,-0.003551572546723737,0.932231479037218,0.932231479037218,0.9485463258864604,0.9485463258864604,-0.017199841909666724,-0.017199841909666724
2023-08-01,221433.656545037,up_trend,1.0,1,1.0,12,speculation_mad,,0.3455711668003232,,,,0,1.0,0,221431.6312827727,9.14621932092303e-06,1.0,0.0,1.0,9.14621932092303e-06,9.14621932092303e-06,0.932240625256539,0.932240625256539,0.9485463258864604,0.9485463258864604,-0.017190199555812913,-0.017190199555812913
2023-08-02,221913.28229665072,up_trend,1.0,1,1.0,12,speculation_mad,,0.0777876826569847,,,,0,1.0,0,221531.3974879472,0.0017238405618070754,1.0,0.0,1.0,0.0017238405618070754,0.0017238405618070754,0.9339644658183461,0.9339644658183461,0.9485463258864604,0.9485463258864604,-0.0153728496649721,-0.0153728496649721
2023-08-03,223249.91373998765,down_trend,2.0,1,1.0,12,speculation_mad,,0.278676766271454,,,,0,1.0,0,219951.91062587276,0.014994200799303957,1.0,0.0,1.0,0.014994200799303957,0.014994200799303957,0.94895866661765,0.94895866661765,0.94895866661765,0.94895866661765,0.0,0.0
2023-08-04,222707.8457608564,down_trend,2.0,1,1.0,12,speculation_mad,-1.430072644911165,-0.1709041956432761,1.156912983663578,0.6262621838853399,-1.430072644911165,0,1.0,0,224539.9914795204,-0.008159551920313908,1.0,0.0,1.0,-0.008159551920313908,-0.008159551920313908,0.9407991146973361,0.9407991146973361,0.94895866661765,0.94895866661765,-0.008598427104730244,-0.008598427104730244
2023-08-07,213933.16142895515,down_trend,2.0,1,1.0,12,speculation_mad,-0.4338439652630235,0.5882044007797698,0.9910269233031856,0.6262621838853399,-0.4338439652630235,0,1.0,0,221536.71889177908,-0.034321883527300374,1.0,0.0,1.0,-0.034321883527300374,-0.034321883527300374,0.9064772311700358,0.9064772311700358,0.94895866661765,0.94895866661765,-0.04476637069876799,-0.04476637069876799
2023-08-08,211639.1597789407,down_trend,2.0,0,,12,speculation_mad,-0.4129621512871322,0.4416301173252139,0.7165011241667261,0.4489466010015065,-0.4129621512871322,0,1.0,0,213715.68585718848,-0.009716301683327938,1.0,0.0,1.0,-0.009716301683327938,-0.009716301683327938,0.8967609294867078,0.8967609294867078,0.94895866661765,0.94895866661765,-0.05500527996334059,-0.05500527996334059
2023-08-09,212657.0317916213,down_trend,2.0,0,,12,speculation_mad,-0.3876942848970816,0.2944802454904577,0.5149172590524919,0.3835050824483489,-0.3876942848970816,0,1.0,0,212008.11296035716,0.0030608207497487333,1.0,0.0,1.0,0.0030608207497487333,0.0030608207497487333,0.8998217502364565,0.8998217502364565,0.94895866661765,0.94895866661765,-0.051779827836265,-0.051779827836265
2023-08-10,206395.3513174404,down_trend,2.0,0,,12,speculation_mad,-0.124588546812179,0.3464598352495612,0.3936006420627685,0.2552083590613925,-0.124588546812179,0,1.0,0,212438.06638306292,-0.0284445964346449,1.0,0.0,1.0,-0.0284445964346449,-0.0284445964346449,0.8713771538018117,0.8713771538018117,0.94895866661765,0.94895866661765,-0.08175436459457208,-0.08175436459457208
2023-08-11,204917.29295378117,down_trend,2.0,0,,12,speculation_mad,1.6315806217058235,0.7545857171442018,0.3460155010249421,0.1689017580275496,1.6315806217058235,0,1.0,0,205989.2162957437,-0.005203783776833985,1.0,0.0,1.0,-0.005203783776833985,-0.005203783776833985,0.8661733700249776,0.8661733700249776,0.94895866661765,0.94895866661765,-0.0872380426091075,-0.0872380426091075
2023-08-14,193643.2345381271,down_trend,2.0,0,,12,speculation_mad,0.8088096406586615,0.5485525533084864,0.3460155010249421,0.1689017580275496,0.8088096406586615,0,1.0,0,203604.56147745124,-0.04892487116712926,1.0,0.0,1.0,-0.04892487116712926,-0.04892487116712926,0.8172484988578484,0.8172484988578484,0.94895866661765,0.94895866661765,-0.13879442002384879,-0.13879442002384879
