date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,ret_5,close_rank_20,close_rank_60,oi_ret_5,open_interest_mad_score,volume_mad_score,range_pct,range_mad_score,close_location,crowded_chase_score,signal,position,position_scale,base_position,factor_position_source,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2018-01-02,3917.31118326928,3935.989301179684,3944.1479647656174,3915.6471933122,59048.0,2294692290.0,145717.0,-0.903315712032744,14,uptrend_crowded_chase,0.0,,,,,,,,0.0072410693405276,,0.7137388509195856,0.0,0,1.0,1.0,1.0,position,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2018-01-03,3940.3175974782425,3895.016572041342,3948.631727540601,3892.5993833141297,67196.0,2594582890.0,152003.0,-0.816286535545645,14,uptrend_crowded_chase,0.0,-0.01040976638987856,,,,,,,0.0143856497630009,,0.043139168288989,0.0,0,1.0,1.0,1.0,position,1.0,-0.01040976638987856,-0.01040976638987856,0.9895902336101214,0.9895902336101214,1.0,1.0,-0.01040976638987856,-0.01040976638987856
2018-01-04,3899.895359657864,3887.952313912835,3903.548822259914,3860.6339553277294,64829.0,2479841590.0,149876.0,-0.8380552514419177,14,uptrend_crowded_chase,0.0,-0.001813665743867321,,,,,,,0.0110379097960167,,0.6365709726718976,0.0,0,1.0,1.0,1.0,position,1.0,-0.001813665743867321,-0.001813665743867321,0.9877954477029571,0.9877954477029571,1.0,1.0,-0.01220455229704287,-0.01220455229704287
2018-01-05,3888.7156204360094,3873.029756738988,3893.984273513355,3871.241328073636,40576.0,1552717600.0,152100.0,-1.3213614404504863,14,uptrend_crowded_chase,0.0,-0.003838153343714512,,,,,,,0.0058721328954798,,0.0786366335043246,0.0,0,1.0,1.0,1.0,position,1.0,-0.003838153343714512,-0.003838153343714512,0.9840041373024501,0.9840041373024501,1.0,1.0,-0.015995862697549934,-0.015995862697549934
2018-01-08,3866.34181607485,3797.850739578664,3886.155121584457,3795.29514700716,113466.0,4287520340.0,165094.0,-0.3750117760813744,14,uptrend_crowded_chase,0.0,-0.019410906159322394,,,,,,,0.0239240509455559,,0.0281267145780481,0.0,0,1.0,1.0,1.0,position,1.0,-0.019410906159322394,-0.019410906159322394,0.9649037253328873,0.9649037253328873,1.0,1.0,-0.03509627466711274,-0.03509627466711274
2018-01-09,3797.808592517056,3800.229308924485,3811.4158838184367,3795.16261198922,43229.0,1631729380.0,163875.0,-1.3325923757560751,14,uptrend_crowded_chase,3.5995097452252507,0.0006262935299254924,-0.0344919617069359,,,0.1174375575833686,3.5995097452252507,-2.926388803957362,0.0042769187088388,-1.2010581076174378,0.3117339689204743,3.5995097452252507,0,1.0,1.0,1.0,position,1.0,0.0006262935299254924,0.0006262935299254924,0.9655080382930643,0.9655080382930643,1.0,1.0,-0.03449196170693569,-0.03449196170693569
2018-01-10,3799.157857221187,3799.708462046998,3816.6885966252494,3782.75554566184,51490.0,1936350960.0,166390.0,-1.172946816369366,14,uptrend_crowded_chase,2.1340530390616483,-0.00013705669714814128,-0.0244692437712514,,,0.0904341729338025,2.1340530390616483,-0.5616831866670922,0.0089304354011224,-0.0346879116425688,0.4995989427369421,2.1340530390616483,0,1.0,1.0,1.0,position,1.0,-0.00013705669714814128,-0.00013705669714814128,0.9653757089502659,0.9653757089502659,1.0,1.0,-0.03462429104973408,-0.03462429104973408
2018-01-11,3806.581727243216,3801.120774504377,3808.714679042477,3787.398806726588,35442.0,1330665940.0,164389.0,-1.534338012854685,14,uptrend_crowded_chase,1.2223918944892442,0.00037168968921852397,-0.0223334887873331,,,0.0924272848555638,1.2223918944892442,-2.5137866600813052,0.0056077861189949,-0.7327908972861307,0.6437441346259354,1.2223918944892442,0,1.0,1.0,1.0,position,1.0,0.00037168968921852397,0.00037168968921852397,0.9657345291475048,0.9657345291475048,1.0,1.0,-0.034265470852495206,-0.034265470852495206
2018-01-12,3798.975281157873,3800.343543616794,3813.8826832239088,3761.1406243381753,88440.0,3310382150.0,163985.0,-0.6174506042372856,14,uptrend_crowded_chase,2.418507981868429,-0.00020447413636437428,-0.0187672746370517,0.375,,0.0752367609612836,0.6015748491315301,1.4448656447913146,0.0138782345018047,1.4390006206824828,0.7432952013411587,2.418507981868429,0,1.0,1.0,1.0,position,1.0,-0.00020447413636437428,-0.00020447413636437428,0.9655370614137001,0.9655370614137001,1.0,1.0,-0.034462938586299896,-0.034462938586299896
2018-01-15,3794.343866227576,3780.729048908599,3805.243245848698,3777.2567195933498,55531.0,2082831090.0,165063.0,-1.0893857958332067,14,uptrend_crowded_chase,0.3198868981424361,-0.005161242525334342,-0.0045082579185207,0.0,,-0.0001877894461781,0.3198868981424361,-0.1328248133210597,0.0074024152202673,-0.3101848568896732,0.1240714650888723,0.3198868981424361,0,1.0,1.0,1.0,position,1.0,-0.005161242525334342,-0.005161242525334342,0.9605536904725454,0.9605536904725454,1.0,1.0,-0.03944630952745465,-0.03944630952745465
